ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
0,City Hunter,Manga,35,Feb 1985 - Nov 1991,https://myanimelist.net/manga/792/City_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/5/272237.jpgSem informaçõess=91027a075fc64be41ed3f44b0186cc64
1,Keijo!!!!!!!!,Manga,18,Jul 2013 - Apr 2017,https://myanimelist.net/manga/56505/Keijo,https://cdn.myanimelist.net/r/100x140/images/manga/3/168393.jpgSem informaçõess=630ab39042bfd9b95226a974cb5920b3
2,Rain,Manga,Sem informações,Nov 2008 -,https://myanimelist.net/manga/17237/Rain,https://cdn.myanimelist.net/r/100x140/images/manga/3/25899.jpgSem informaçõess=fc5341a8b225edc266780a138e24db97
3,Hidari no Futari,One-shot,Sem informações,2011 - 2011,https://myanimelist.net/manga/26610/Hidari_no_Futari,https://cdn.myanimelist.net/r/100x140/images/manga/3/42789.jpgSem informaçõess=491ea73ed1f10bba3610c7b74ef277af
4,Odd Girl Out,Manhwa,Sem informações,May 2015 -,https://myanimelist.net/manga/119521/Odd_Girl_Out,https://cdn.myanimelist.net/r/100x140/images/manga/2/222276.jpgSem informaçõess=bef6998d7e636de5d833d0be680b4118
5,Watashi no Fushidara,Manga,2,Nov 2015 - Dec 2016,https://myanimelist.net/manga/106646/Watashi_no_Fushidara,https://cdn.myanimelist.net/r/100x140/images/manga/2/195205.jpgSem informaçõess=bf37e6541ed445b79ac486401226e59d
6,Uchuu Senkan Yamato,Manga,3,Oct 1974 - Dec 1979,https://myanimelist.net/manga/33333/Uchuu_Senkan_Yamato,https://cdn.myanimelist.net/r/100x140/images/manga/1/284283.jpgSem informaçõess=18071abe2d33c7585485a9f90a743049
7,Ruru Chouchou,One-shot,Sem informações,Dec 2012 - Dec 2012,https://myanimelist.net/manga/47807/Ruru_Chouchou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111251.jpgSem informaçõess=4273abac7c8a2e943c9d13243b6b5a17
8,Confession,Manga,1,Apr 1998 - Sep 1998,https://myanimelist.net/manga/1541/Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/13085.jpgSem informaçõess=285e4f27a7be4d0d43cf08e44c5dc109
9,Ibara no Namida,Manga,1,Jan 2011 - Jan 2011,https://myanimelist.net/manga/33841/Ibara_no_Namida,https://cdn.myanimelist.net/r/100x140/images/manga/1/61707.jpgSem informaçõess=e3ab7f88a18db79595cd8ca87ca04c43
10,Inuyashiki,Manga,10,Jan 2014 - Jul 2017,https://myanimelist.net/manga/64465/Inuyashiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/156353.jpgSem informaçõess=ded4aa7026a2a2a078ee791cb0e31fea
12,The Girl's Winter,Manhwa,Sem informações,2007 - 2007,https://myanimelist.net/manga/3898/The_Girls_Winter,https://cdn.myanimelist.net/r/100x140/images/manga/1/4464.jpgSem informaçõess=f5c43cc9c2742dca40bf0baa2d658091
13,Hinamizawa Teiryuujo: Higurashi no Naku Koro ni Genten,Manga,1,Oct 2011 - Jul 2012,https://myanimelist.net/manga/30139/Hinamizawa_Teiryuujo__Higurashi_no_Naku_Koro_ni_Genten,https://cdn.myanimelist.net/r/100x140/images/manga/1/176843.jpgSem informaçõess=5a4a82706455a162bea471909d89e674
14,Mookhyang: Dark Lady,Manhwa,Sem informações,Jul 2019 -,https://myanimelist.net/manga/129808/Mookhyang__Dark_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/3/236954.jpgSem informaçõess=9b5c44089bed67c546039905a04b091c
15,Bride,Manhwa,Sem informações,-,https://myanimelist.net/manga/54629/Bride,https://cdn.myanimelist.net/r/100x140/images/manga/3/97207.jpgSem informaçõess=9b333ce9d899774126f8c8a7464b22d1
16,I Was the Male Lead's Ex,Manhwa,Sem informações,Mar 2021 - Feb 2023,https://myanimelist.net/manga/148205/I_Was_the_Male_Leads_Ex,https://cdn.myanimelist.net/r/100x140/images/manga/3/263001.jpgSem informaçõess=b8091ad66b7e6e21a170111db2f3bba7
17,Jinrui wo Metsubou sasete wa Ikemasen,Manga,4,Sep 2020 - Feb 2022,https://myanimelist.net/manga/131703/Jinrui_wo_Metsubou_sasete_wa_Ikemasen,https://cdn.myanimelist.net/r/100x140/images/manga/1/244404.jpgSem informaçõess=a02c3aa6b2fca61eb5b0d2fee2b93698
18,Crepuscule,Manhwa,Sem informações,Feb 2011 - Oct 2016,https://myanimelist.net/manga/45771/Crepuscule,https://cdn.myanimelist.net/r/100x140/images/manga/3/189103.jpgSem informaçõess=5498f32f61227379c6477233e4f002ae
19,Mononoke: Umibouzu,Manga,2,Sep 2013 - Nov 2014,https://myanimelist.net/manga/88229/Mononoke__Umibouzu,https://cdn.myanimelist.net/r/100x140/images/manga/3/155676.jpgSem informaçõess=8d200163e6476ebde4f0f468844b8e82
20,Tensura Nikki: Tensei shitara Slime Datta Ken,Manga,Sem informações,Apr 2018 -,https://myanimelist.net/manga/117179/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,https://cdn.myanimelist.net/r/100x140/images/manga/1/220263.jpgSem informaçõess=826d1a2dae56cf4787208f2b0a678c3b
21,Kedamono ni Lollipop,Manga,2,Aug 2014 - Feb 2016,https://myanimelist.net/manga/88072/Kedamono_ni_Lollipop,https://cdn.myanimelist.net/r/100x140/images/manga/1/169130.jpgSem informaçõess=a90b0ccf9914cc1e1f78f22a50b49d9e
22,High School! Kimengumi,Manga,20,Apr 1982 - Jun 1987,https://myanimelist.net/manga/7634/High_School_Kimengumi,https://cdn.myanimelist.net/r/100x140/images/manga/1/187153.jpgSem informaçõess=c4519c88dd023107704190cbd4e4c84f
23,Tounan Kadobeya Kare no Koi,Manga,1,Oct 2014 - May 2015,https://myanimelist.net/manga/119830/Tounan_Kadobeya_Kare_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/1/221589.jpgSem informaçõess=db3d9938a3e3480189c1ffde5ee3b0bf
24,Kabu no Isaki,Manga,6,Jun 2007 - Nov 2012,https://myanimelist.net/manga/3321/Kabu_no_Isaki,https://cdn.myanimelist.net/r/100x140/images/manga/2/52905.jpgSem informaçõess=12602f6e473e8a51dc61710164dde80b
25,F-Class Destiny Hunter,Manhwa,Sem informações,Apr 2023 -,https://myanimelist.net/manga/158399/F-Class_Destiny_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/2/281202.jpgSem informaçõess=aa9f437a4b195247b853deffa285ad92
26,Finlandia: Santa Yousei Gakkou,Manga,2,Dec 2010 - Aug 2011,https://myanimelist.net/manga/25475/Finlandia__Santa_Yousei_Gakkou,https://cdn.myanimelist.net/r/100x140/images/manga/3/152674.jpgSem informaçõess=f7972a06597951b24014fbe1310ed9de
27,Youkai Niisan,Manga,4,Jun 2015 - Jul 2017,https://myanimelist.net/manga/110492/Youkai_Niisan,https://cdn.myanimelist.net/r/100x140/images/manga/3/202968.jpgSem informaçõess=e2dd0509b200a33f69b622fb6a0d9f80
28,Mamacolle,Manga,4,2005 - 2008,https://myanimelist.net/manga/2584/Mamacolle,https://cdn.myanimelist.net/r/100x140/images/manga/3/19669.jpgSem informaçõess=8a9bdd7857a7d4bdae14838b5b01e050
29,DoLL,Manga,2,Jul 2008 - Aug 2009,https://myanimelist.net/manga/13796/DoLL,https://cdn.myanimelist.net/r/100x140/images/manga/3/58489.jpgSem informaçõess=398c5299972a89d3fc146aa2050d0c6b
30,Amaesasete Hinamori-san!,Manga,Sem informações,Sep 2021 -,https://myanimelist.net/manga/140466/Amaesasete_Hinamori-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/257268.jpgSem informaçõess=2439e685897213a2655f428963905c7e
31,Sensor,Manga,1,Aug 2018 - Aug 2019,https://myanimelist.net/manga/115507/Sensor,https://cdn.myanimelist.net/r/100x140/images/manga/1/224108.jpgSem informaçõess=859de571570ffa1df0b55fe71776a81e
32,Kaikisen,Manga,1,Mar 1990 - Jun 1990,https://myanimelist.net/manga/5427/Kaikisen,https://cdn.myanimelist.net/r/100x140/images/manga/3/157831.jpgSem informaçõess=a253c1934b98f561915de2393e6df57f
33,Boku wa Oneko-sama no Geboku desu.,Manga,4,Oct 2019 - Apr 2021,https://myanimelist.net/manga/133651/Boku_wa_Oneko-sama_no_Geboku_desu,https://cdn.myanimelist.net/r/100x140/images/manga/2/241159.jpgSem informaçõess=d6209a6d7ee44136be02dae27165d0a4
34,Hetamen,Manga,3,Apr 2011 - Dec 2012,https://myanimelist.net/manga/39795/Hetamen,https://cdn.myanimelist.net/r/100x140/images/manga/4/127421.jpgSem informaçõess=a987033399e8d5b3b927d4177e437c13
35,Toscana no Yuuutsu,Manga,1,Apr 2010 - Apr 2010,https://myanimelist.net/manga/51293/Toscana_no_Yuuutsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/94461.jpgSem informaçõess=8b5561521c08db351a9d0738d36a7816
36,Kanda-kun to Serizawa-san,One-shot,Sem informações,Sep 2016 - Sep 2016,https://myanimelist.net/manga/109199/Kanda-kun_to_Serizawa-san,https://cdn.myanimelist.net/r/100x140/images/manga/2/199969.jpgSem informaçõess=072dea8d6eae55e1b6cbb8f1f74e287f
37,Aibu de Jirashite,Manga,1,Jan 2009 - Jan 2012,https://myanimelist.net/manga/85943/Aibu_de_Jirashite,https://cdn.myanimelist.net/r/100x140/images/manga/1/149455.jpgSem informaçõess=175b93ff43e51f019176b92a65a10b6e
38,Durarara!!,Light-Novel,13,Apr 2004 - Jan 2014,https://myanimelist.net/manga/16816/Durarara,https://cdn.myanimelist.net/r/100x140/images/manga/2/28766.jpgSem informaçõess=752243c94ac9dc6472962ffa23f7d339
39,Hiiragi-san Chi no Kyuuketsu Jijou,Manga,Sem informações,Oct 2021 -,https://myanimelist.net/manga/140912/Hiiragi-san_Chi_no_Kyuuketsu_Jijou,https://cdn.myanimelist.net/r/100x140/images/manga/2/259581.jpgSem informaçõess=d3c672e4b7230d1f12f2ec7a7009e417
40,Rubbers 7,Manga,7,Oct 2002 - Apr 2007,https://myanimelist.net/manga/3079/Rubbers_7,https://cdn.myanimelist.net/r/100x140/images/manga/3/3353.jpgSem informaçõess=0b80aee1240b12209082815512310b49
41,Cocoa!,Manga,1,Dec 2004 - 2005,https://myanimelist.net/manga/9837/Cocoa,https://cdn.myanimelist.net/r/100x140/images/manga/1/23346.jpgSem informaçõess=9acbcdaef413c73dbc617dc4aa295bf5
42,Bamboo Blade,Manga,14,Dec 2004 - Sep 2010,https://myanimelist.net/manga/720/Bamboo_Blade,https://cdn.myanimelist.net/r/100x140/images/manga/1/28784.jpgSem informaçõess=5876a6f1c071c7e5934764867e366521
43,Subarashiki Kono Sekai,Manga,Sem informações,Aug 2007 - Sep 2007,https://myanimelist.net/manga/7162/Subarashiki_Kono_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/1/11540.jpgSem informaçõess=3ac1a3c56dec36ec420432a79a05f68e
44,Chou no Ito,One-shot,Sem informações,Oct 2014 - Oct 2014,https://myanimelist.net/manga/86346/Chou_no_Ito,https://cdn.myanimelist.net/r/100x140/images/manga/3/150031.jpgSem informaçõess=49d4a57124e1c54214355a7efd19616e
45,Flower of Life,Manga,4,May 2004 - Jun 2007,https://myanimelist.net/manga/250/Flower_of_Life,https://cdn.myanimelist.net/r/100x140/images/manga/5/29557.jpgSem informaçõess=243364009ad81f95fd74677e8259c132
46,Starting Gate!: Uma Musume Pretty Derby,Manga,6,Mar 2017 - Nov 2019,https://myanimelist.net/manga/106804/Starting_Gate__Uma_Musume_Pretty_Derby,https://cdn.myanimelist.net/r/100x140/images/manga/3/198435.jpgSem informaçõess=8492a9fd5ca44110d7fa5d4d420ed6e2
47,Shoujo Tsubaki,Manga,1,Sep 1984 - Sep 1984,https://myanimelist.net/manga/9057/Shoujo_Tsubaki,https://cdn.myanimelist.net/r/100x140/images/manga/5/176724.jpgSem informaçõess=0c5ddddbbaf48a34fadb0a299010bc53
48,Chuu x2 Trap,Manga,Sem informações,Apr 2012 - Jul 2012,https://myanimelist.net/manga/45381/Chuu_x2_Trap,https://cdn.myanimelist.net/r/100x140/images/manga/1/80149.jpgSem informaçõess=e347467c036576daa41bc0fa8177318c
49,Kurasu Hako,Manga,1,Dec 2010 - Apr 2013,https://myanimelist.net/manga/116154/Kurasu_Hako,https://cdn.myanimelist.net/r/100x140/images/manga/2/223775.jpgSem informaçõess=715edf4a1d6100fd8679b48720412fc6
50,Koishitagari no Blue,Manga,6,Aug 2007 - Jul 2009,https://myanimelist.net/manga/9122/Koishitagari_no_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/2/261608.jpgSem informaçõess=fd3f0c17ed037d579503fd7157be87ef
51,Uncanny Brains,Manga,2,Apr 2013 - May 2014,https://myanimelist.net/manga/61635/Uncanny_Brains,https://cdn.myanimelist.net/r/100x140/images/manga/3/106185.jpgSem informaçõess=86226c674449ae7126a97ce43053e5f6
52,Shinreigari: Another Side,Manga,2,Mar 2007 - Dec 2007,https://myanimelist.net/manga/10743/Shinreigari__Another_Side,https://cdn.myanimelist.net/r/100x140/images/manga/2/99699.jpgSem informaçõess=1424ba976e17a46ff6c24e9c79638025
53,Otomegokoro,Manga,2,Jun 2008 - Oct 2008,https://myanimelist.net/manga/8974/Otomegokoro,https://cdn.myanimelist.net/r/100x140/images/manga/3/12237.jpgSem informaçõess=9d6b84bafaf799140bdc0611ca9537d3
54,Kengan Ashura 0,Manga,1,Aug 2015 - Oct 2015,https://myanimelist.net/manga/115098/Kengan_Ashura_0,https://cdn.myanimelist.net/r/100x140/images/manga/3/225037.jpgSem informaçõess=47b2a0d5d111aefc370286389e7db100
55,Love Hina: Special Project,One-shot,Sem informações,Sep 2010 - Sep 2010,https://myanimelist.net/manga/21883/Love_Hina__Special_Project,https://cdn.myanimelist.net/r/100x140/images/manga/5/35733.jpgSem informaçõess=a80d5b138a00f794c58b0122e0d3ca50
56,Rin-chan Now,Manga,3,Mar 2013 - Nov 2014,https://myanimelist.net/manga/65091/Rin-chan_Now,https://cdn.myanimelist.net/r/100x140/images/manga/1/194943.jpgSem informaçõess=1fb69422c995fd51a26290e868a8defa
57,Kimi no Uta ga Aru,Manga,3,1996 -,https://myanimelist.net/manga/21305/Kimi_no_Uta_ga_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/3/34311.jpgSem informaçõess=eeb73fbab15026533306d94ec3ad374f
58,"Maoyuu 4-koma: Muitemasen yo, Maou-sama!",Manga,3,Jun 2011 - Oct 2014,https://myanimelist.net/manga/33423/Maoyuu_4-koma__Muitemasen_yo_Maou-sama,https://cdn.myanimelist.net/r/100x140/images/manga/2/119229.jpgSem informaçõess=24f3c8346bb4f636aa4b1875d5b11fbb
59,Boku no Mei,One-shot,Sem informações,May 2012 - May 2012,https://myanimelist.net/manga/60479/Boku_no_Mei,https://cdn.myanimelist.net/r/100x140/images/manga/1/104229.jpgSem informaçõess=db33716a723116d295a7941b5221281c
60,Outer Zone,Manga,15,Mar 1991 - Mar 1994,https://myanimelist.net/manga/73373/Outer_Zone,https://cdn.myanimelist.net/r/100x140/images/manga/3/187161.jpgSem informaçõess=6c9bbd7f8b8078883812e19b12595d63
61,Bozebeats,Manga,2,Jan 2018 - Apr 2018,https://myanimelist.net/manga/111214/Bozebeats,https://cdn.myanimelist.net/r/100x140/images/manga/1/209754.jpgSem informaçõess=fa6a2b6f3089b2781dea5e971c40c9f5
62,Rinna Keibu wa Iki ga Dekinai,Manga,3,Oct 2016 - Dec 2017,https://myanimelist.net/manga/107104/Rinna_Keibu_wa_Iki_ga_Dekinai,https://cdn.myanimelist.net/r/100x140/images/manga/1/196081.jpgSem informaçõess=307389d4143cf47f06aa1611b00da8c3
63,Komi-san wa Comyushou desu.,One-shot,Sem informações,Sep 2015 - Sep 2015,https://myanimelist.net/manga/93530/Komi-san_wa_Comyushou_desu,https://cdn.myanimelist.net/r/100x140/images/manga/3/165402.jpgSem informaçõess=8a08b108ea2ab6b4edc573592fb8b9e7
64,Migi to Dali,Manga,7,Jul 2017 - Nov 2021,https://myanimelist.net/manga/107774/Migi_to_Dali,https://cdn.myanimelist.net/r/100x140/images/manga/1/210003.jpgSem informaçõess=7fb29ba4eb0ce5d1b99025fa2d765dc9
65,Sora to Hara,Manga,1,Dec 2009 - Dec 2011,https://myanimelist.net/manga/19570/Sora_to_Hara,https://cdn.myanimelist.net/r/100x140/images/manga/1/67873.jpgSem informaçõess=53bf9db4e8647cf80515e7db5ed4dae8
66,29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,Manga,Sem informações,Feb 2019 -,https://myanimelist.net/manga/120857/29-sai_Dokushin_wa_Isekai_de_Jiyuu_ni_Ikitakatta,https://cdn.myanimelist.net/r/100x140/images/manga/3/220214.jpgSem informaçõess=16293168584e09955d8a2e167e6fb281
67,Hachimitsu to Clover Spin-off,Manga,Sem informações,Nov 2006 - Jan 2008,https://myanimelist.net/manga/66025/Hachimitsu_to_Clover_Spin-off,https://cdn.myanimelist.net/r/100x140/images/manga/3/113233.jpgSem informaçõess=71fab943349bf1fe3b0961c491143cf4
68,Fukigen na Mononokean,Manga,18,Sep 2013 - Apr 2021,https://myanimelist.net/manga/67401/Fukigen_na_Mononokean,https://cdn.myanimelist.net/r/100x140/images/manga/3/130743.jpgSem informaçõess=052c1c4c6099029ddb7966d11093b503
69,Gabai: Saga no Gabai Baachan,Manga,11,2005 - Apr 2010,https://myanimelist.net/manga/19709/Gabai__Saga_no_Gabai_Baachan,https://cdn.myanimelist.net/r/100x140/images/manga/1/196045.jpgSem informaçõess=0d22b7e0c405c198cdab075dbabd0f18
70,Sachi-iro no One Room,Manga,11,Sep 2016 - Dec 2022,https://myanimelist.net/manga/104829/Sachi-iro_no_One_Room,https://cdn.myanimelist.net/r/100x140/images/manga/1/192115.jpgSem informaçõess=5e9192ed54ea7290763dd536a23316c2
71,Renka,Manga,1,1994 - 1994,https://myanimelist.net/manga/1846/Renka,https://cdn.myanimelist.net/r/100x140/images/manga/3/266568.jpgSem informaçõess=b7c1386266b149882f1d93a2f9a96951
72,Kono Gomi wo Nanto Yobu,Manga,Sem informações,May 2022 -,https://myanimelist.net/manga/147461/Kono_Gomi_wo_Nanto_Yobu,https://cdn.myanimelist.net/r/100x140/images/manga/3/261681.jpgSem informaçõess=b77a7d0d419078a21c8e8c29a33439e1
73,Ne0;lation,Manga,3,Dec 2018 - Apr 2019,https://myanimelist.net/manga/116975/Ne0_lation,https://cdn.myanimelist.net/r/100x140/images/manga/1/217671.jpgSem informaçõess=82f5f34dafcc3f53c4c3d329b8400f17
74,Seiyuu Ka!,Manga,12,Jun 2009 - Feb 2013,https://myanimelist.net/manga/14633/Seiyuu_Ka,https://cdn.myanimelist.net/r/100x140/images/manga/2/269037.jpgSem informaçõess=4316174c505dd4f6830cb3d766b3d0a0
75,Beatless: Dystopia,Manga,2,Feb 2012 - Jan 2013,https://myanimelist.net/manga/35159/Beatless__Dystopia,https://cdn.myanimelist.net/r/100x140/images/manga/3/112473.jpgSem informaçõess=8db53417ee4d323441c171af924e33e2
76,Komata-kun to Komata-chan,Doujinshi,1,Aug 2010 - Aug 2010,https://myanimelist.net/manga/43725/Komata-kun_to_Komata-chan,https://cdn.myanimelist.net/r/100x140/images/manga/3/203756.jpgSem informaçõess=479e5d913f62bfc597b872d21015374c
77,Kono Ore ga Omae nanka Suki na Wakenai,Manga,1,Apr 2012 - Nov 2012,https://myanimelist.net/manga/42053/Kono_Ore_ga_Omae_nanka_Suki_na_Wakenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/174400.jpgSem informaçõess=bbf026081a96ba0d6869f079f1e2011d
78,Cutie Honey,Manga,1,Jul 1992 - Mar 1993,https://myanimelist.net/manga/16941/Cutie_Honey,https://cdn.myanimelist.net/r/100x140/images/manga/3/152788.jpgSem informaçõess=e833308b1a6f15294df9be4854c32eff
79,G-Maru Edition,Manga,2,May 2010 - Dec 2012,https://myanimelist.net/manga/21600/G-Maru_Edition,https://cdn.myanimelist.net/r/100x140/images/manga/3/70733.jpgSem informaçõess=c33b0761abf120f6bd6110fb609a69c5
80,Mashle,Manga,18,Jan 2020 - Jul 2023,https://myanimelist.net/manga/124085/Mashle,https://cdn.myanimelist.net/r/100x140/images/manga/1/230705.jpgSem informaçõess=9650dc036bf97685471e0cc500f07ce8
81,Chitei Ryokou,Manga,4,Sep 2015 - Oct 2017,https://myanimelist.net/manga/93181/Chitei_Ryokou,https://cdn.myanimelist.net/r/100x140/images/manga/1/174739.jpgSem informaçõess=f69bc6f0c7f52f276ee73653f0b9e0b0
82,Kimi ni Aisarete Itakatta,Manga,Sem informações,Jun 2017 -,https://myanimelist.net/manga/107776/Kimi_ni_Aisarete_Itakatta,https://cdn.myanimelist.net/r/100x140/images/manga/2/219898.jpgSem informaçõess=e234721972f71c0a9bc5f5350b2a28fa
83,Shaman King: The Super Star,Manga,Sem informações,May 2018 -,https://myanimelist.net/manga/114353/Shaman_King__The_Super_Star,https://cdn.myanimelist.net/r/100x140/images/manga/3/215123.jpgSem informaçõess=8c5882b934ef8a90cc1ad9b57cbd3afe
84,Astroid,Manga,Sem informações,Aug 1989 - May 1991,https://myanimelist.net/manga/102752/Astroid,https://cdn.myanimelist.net/r/100x140/images/manga/3/195929.jpgSem informaçõess=a622f50c4439e46c1cc16866c17647b9
85,Boku to Uchuujin,Manga,3,May 2015 - Mar 2016,https://myanimelist.net/manga/108452/Boku_to_Uchuujin,https://cdn.myanimelist.net/r/100x140/images/manga/1/198624.jpgSem informaçõess=5fd89903714bef7db336f066eb10b8ea
86,Shishi to Cinderella,Manga,1,Nov 2004 - Nov 2004,https://myanimelist.net/manga/37123/Shishi_to_Cinderella,https://cdn.myanimelist.net/r/100x140/images/manga/2/66899.jpgSem informaçõess=a98c4d8e9b27512c65653aeb17b2b042
87,Itoshi no Karin,Manga,3,Apr 2013 - Dec 2014,https://myanimelist.net/manga/60889/Itoshi_no_Karin,https://cdn.myanimelist.net/r/100x140/images/manga/1/202211.jpgSem informaçõess=6e5dc6e87395d00638510fe493a9356f
88,Dolls Fall,Manga,4,Jun 2013 - Jun 2015,https://myanimelist.net/manga/57143/Dolls_Fall,https://cdn.myanimelist.net/r/100x140/images/manga/3/115553.jpgSem informaçõess=f93bd65e48b335c03fed47f0e5e99e03
89,Haido Hakase no Jikan Note,One-shot,Sem informações,2008 - 2008,https://myanimelist.net/manga/25663/Haido_Hakase_no_Jikan_Note,https://cdn.myanimelist.net/r/100x140/images/manga/2/50105.jpgSem informaçõess=3e07d7d67dac11a04c78e32321a416fc
90,Sazanami Cherry,Manga,1,Apr 2010 - Aug 2011,https://myanimelist.net/manga/20188/Sazanami_Cherry,https://cdn.myanimelist.net/r/100x140/images/manga/3/128129.jpgSem informaçõess=d73679398a87de4c8abc856f94f784da
91,Douki to Tawawa,Doujinshi,1,Aug 2020 - Aug 2020,https://myanimelist.net/manga/154463/Douki_to_Tawawa,https://cdn.myanimelist.net/r/100x140/images/manga/3/274165.jpgSem informaçõess=886c9bf02fa96bdc4dbf8b325e94bc99
92,Warera Nishizaki Kiba Gundan,One-shot,Sem informações,Oct 2011 - Oct 2011,https://myanimelist.net/manga/47411/Warera_Nishizaki_Kiba_Gundan,https://cdn.myanimelist.net/r/100x140/images/manga/4/111257.jpgSem informaçõess=78e30cf7f14cc67933ce98057965cd85
93,Keetai Kounago H,Manga,Sem informações,Nov 2008 - May 2010,https://myanimelist.net/manga/15175/Keetai_Kounago_H,https://cdn.myanimelist.net/r/100x140/images/manga/2/156348.jpgSem informaçõess=4d3328049a717d0f28cd23552218deef
94,After Friend,One-shot,Sem informações,May 2007 - May 2007,https://myanimelist.net/manga/10668/After_Friend,https://cdn.myanimelist.net/r/100x140/images/manga/2/17306.jpgSem informaçõess=1c1dfc997fc45965956c891cf80bf05c
95,Discommunication: Seirei-hen,Manga,3,May 1999 - Sep 2000,https://myanimelist.net/manga/5681/Discommunication__Seirei-hen,https://cdn.myanimelist.net/r/100x140/images/manga/2/137589.jpgSem informaçõess=e7e993a4fafb8ab2fe064ed70f39fdbf
96,Tsuki no Waltz,Manga,1,2008 - 2009,https://myanimelist.net/manga/11683/Tsuki_no_Waltz,https://cdn.myanimelist.net/r/100x140/images/manga/2/17835.jpgSem informaçõess=f99029f134d9c768400c3ad96dcb50c1
97,Tiger & Dragon: Osananajimi 3-nin no Otawamure Biyori,Manga,4,Feb 2022 - Mar 2023,https://myanimelist.net/manga/144014/Tiger___Dragon__Osananajimi_3-nin_no_Otawamure_Biyori,https://cdn.myanimelist.net/r/100x140/images/manga/3/263459.jpgSem informaçõess=0f41289b1486f711162755c49a25b1ec
98,Tekken Chinmi,Manga,35,Apr 1984 - Apr 1997,https://myanimelist.net/manga/1100/Tekken_Chinmi,https://cdn.myanimelist.net/r/100x140/images/manga/2/280452.jpgSem informaçõess=636f2d575f6452e16b1ffddf4c487afb
99,Kiseki no Koibana,Manga,1,-,https://myanimelist.net/manga/10834/Kiseki_no_Koibana,https://cdn.myanimelist.net/r/100x140/images/manga/3/14582.jpgSem informaçõess=b450b7b923f73d997942a43f1c522bfa
100,I.L,Manga,1,Jul 1969 - Mar 1970,https://myanimelist.net/manga/18167/IL,https://cdn.myanimelist.net/r/100x140/images/manga/3/177205.jpgSem informaçõess=4bcdf9b5991620c2eceec8abf670d582
101,Erotic Horror,Manga,1,Aug 2009 - Aug 2009,https://myanimelist.net/manga/16797/Erotic_Horror,https://cdn.myanimelist.net/r/100x140/images/manga/1/24880.jpgSem informaçõess=2e3af1260dc9bd6528fed5a5826754ad
102,Chrome Shelled Regios: Secret Side,Manga,2,Apr 2008 - Apr 2009,https://myanimelist.net/manga/12279/Chrome_Shelled_Regios__Secret_Side,https://cdn.myanimelist.net/r/100x140/images/manga/5/151241.jpgSem informaçõess=d700b2dba8f756060b9e77fe1910789d
103,Ninja Tensei Shinobi Kill,Manga,3,Mar 2018 - Aug 2019,https://myanimelist.net/manga/116574/Ninja_Tensei_Shinobi_Kill,https://cdn.myanimelist.net/r/100x140/images/manga/2/223650.jpgSem informaçõess=f97ebdbafd1d6ee93ff3ed499e453a31
104,Kono Negai ga Kanau nara,Manga,1,Jul 2007 - Apr 2009,https://myanimelist.net/manga/19037/Kono_Negai_ga_Kanau_nara,https://cdn.myanimelist.net/r/100x140/images/manga/2/174392.jpgSem informaçõess=6fc479cfd76e7a6042f682fbbb607345
105,Oto☆Koi,Manga,1,Jun 2013 - Jun 2013,https://myanimelist.net/manga/57081/Oto☆Koi,https://cdn.myanimelist.net/r/100x140/images/manga/3/99111.jpgSem informaçõess=6acde6f20e817509f58d0b6b2c621579
106,Roll,One-shot,Sem informações,2007 - 2007,https://myanimelist.net/manga/17902/Roll,https://cdn.myanimelist.net/r/100x140/images/manga/1/27447.jpgSem informaçõess=4f5274c40ac8b0146fe348d74ab7588b
107,Secrecy,Manga,2,1996 -,https://myanimelist.net/manga/5903/Secrecy,https://cdn.myanimelist.net/r/100x140/images/manga/3/7562.jpgSem informaçõess=34b436b17c2086c2211f3ac7e1f8f73f
108,Over Drive,Manga,17,May 2005 - May 2008,https://myanimelist.net/manga/2720/Over_Drive,https://cdn.myanimelist.net/r/100x140/images/manga/3/191761.jpgSem informaçõess=917db531822444254922410751dfcf4e
109,From a Knight to a Lady,Manhwa,Sem informações,Mar 2021 -,https://myanimelist.net/manga/147574/From_a_Knight_to_a_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/2/261789.jpgSem informaçõess=5704349109135277db992f6b3496bf09
110,Daydream★Nightmare,Manga,2,Nov 2011 -,https://myanimelist.net/manga/41385/Daydream★Nightmare,https://cdn.myanimelist.net/r/100x140/images/manga/2/72527.jpgSem informaçõess=1332ebe0a42fa0196fe2abd6cf99fc89
