ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
7714,Winter Flowers,One-shot,Sem informações,Jan 2007 - Jan 2007,https://myanimelist.net/manga/4657/Winter_Flowers,https://cdn.myanimelist.net/r/100x140/images/manga/2/5738.jpgSem informaçõess=189aa73501ba36dbbd1a31fa754fb4cd
7715,I Choose the Emperor Ending,Manhwa,Sem informações,Jan 2019 - Jul 2021,https://myanimelist.net/manga/148111/I_Choose_the_Emperor_Ending,https://cdn.myanimelist.net/r/100x140/images/manga/1/262808.jpgSem informaçõess=a26ffd6fcd242f955324eb55e63ef23d
7716,Dareka wo Norowazu ni Irarenai Kono Sekai de,Manga,4,Sep 2019 - Apr 2022,https://myanimelist.net/manga/122396/Dareka_wo_Norowazu_ni_Irarenai_Kono_Sekai_de,https://cdn.myanimelist.net/r/100x140/images/manga/1/223122.jpgSem informaçõess=adef8021968514ddf41005a2931dbe32
7717,Kanojo wo Mamoru 51 no Houhou,Manga,5,May 2006 - Aug 2007,https://myanimelist.net/manga/13102/Kanojo_wo_Mamoru_51_no_Houhou,https://cdn.myanimelist.net/r/100x140/images/manga/3/219800.jpgSem informaçõess=1553d5ec39ae26714f04ce053fc9c3d7
7718,Ari & Kirigirisu: Assortment,Manga,1,Jun 2011 - Apr 2012,https://myanimelist.net/manga/26307/Ari___Kirigirisu__Assortment,https://cdn.myanimelist.net/r/100x140/images/manga/1/42274.jpgSem informaçõess=3ff0128fac3677c6f165f95c992b2f05
7719,Jin,Manga,20,Apr 2000 - Nov 2010,https://myanimelist.net/manga/11493/Jin,https://cdn.myanimelist.net/r/100x140/images/manga/3/159859.jpgSem informaçõess=302ca128b194b53e190dbdcc68cbc88b
7720,Jinrou Game: Crazy Fox,Manga,4,Apr 2017 - Mar 2019,https://myanimelist.net/manga/106407/Jinrou_Game__Crazy_Fox,https://cdn.myanimelist.net/r/100x140/images/manga/2/202537.jpgSem informaçõess=39e3fa625e2c45e6baab55fca151b56e
7721,Zingnize,Manga,Sem informações,Mar 2018 -,https://myanimelist.net/manga/122795/Zingnize,https://cdn.myanimelist.net/r/100x140/images/manga/2/223886.jpgSem informaçõess=c71e60894e5e81658e78d06d16efe8a7
7722,Baek XX,Manhwa,Sem informações,Jan 2023 -,https://myanimelist.net/manga/155652/Baek_XX,https://cdn.myanimelist.net/r/100x140/images/manga/3/276520.jpgSem informaçõess=f5a45156722ce4b58e3e30b38cf7dcd9
7723,Tadashii Hentai Seiyoku,Manga,1,2007 - 2007,https://myanimelist.net/manga/34213/Tadashii_Hentai_Seiyoku,https://cdn.myanimelist.net/r/100x140/images/manga/1/62301.jpgSem informaçõess=0551487249c7d1f769d306f4dece2c82
7724,Shining Star,Doujinshi,1,1987 - 1987,https://myanimelist.net/manga/31983/Shining_Star,https://cdn.myanimelist.net/r/100x140/images/manga/1/58739.jpgSem informaçõess=b7458ebf105494b95883001050cf32e3
